,postcode,lat,lon,total_square,rooms,floor,city,settlement,district,area,price_mln
28837,123060.0,55.791029,37.471611,53.2,2.0,25.0,Москва,,Щукино район,,16.92
28838,127282.0,55.892681,37.647624,34.7,1.0,12.0,Москва,,Северное Медведково район,,8.7
28839,127287.0,55.80534,37.5726,58.19,2.0,20.0,Москва,,Савёловский район,,23.58
28840,119270.0,55.720513,37.581186,88.0,3.0,4.0,Москва,,Хамовники район,,65.0
28841,121552.0,55.741807,37.416638,156.9,4.0,28.0,Москва,,Кунцево район,,47.0
28842,141080.0,55.908449,37.863035,60.3,3.0,3.0,Королёв,,,Костино м-н,10.2
28843,109388.0,55.679355,37.721886,64.0,4.0,5.0,Москва,,Печатники район,,18.0
28844,143980.0,55.73551,37.996991,39.0,1.0,5.0,Балашиха,,,Железнодорожный м-н,6.5
28845,123557.0,55.767137,37.568186,211.0,4.0,7.0,Москва,,Пресненский район,,130.0
28846,123022.0,55.770407,37.563819,68.0,2.0,32.0,Москва,,Пресненский район,,32.0
28847,143005.0,55.681536,37.299375,69.0,2.0,2.0,Одинцово,,,6-й м-н,13.89
28848,109156.0,55.687213,37.856957,29.3,,5.0,Москва,,Выхино-Жулебино район,,6.4
28849,140053.0,55.641046,37.852304,41.0,1.0,17.0,Котельники,,,,7.8
28850,143442.0,55.896255,37.291088,58.9,2.0,1.0,,д. Аристово,,,10.5
28851,125371.0,55.830685,37.399136,108.0,4.0,7.0,Москва,,Покровское-Стрешнево район,,32.38
28852,,55.592763,37.427133,35.0,1.0,16.0,Москва,,Сосенское поселение,,10.87
28853,115432.0,55.700733,37.631501,54.0,2.0,6.0,Москва,,Даниловский район,,23.0
28854,142703.0,55.562422,37.70397,89.0,3.0,8.0,Видное,,,Зелёные аллеи жилой комплекс,13.9
28855,108811.0,55.637332,37.426829,59.3,2.0,8.0,Москва,,Московский поселение,,16.36
28856,127287.0,55.806111,37.571988,55.16,2.0,44.0,Москва,,Савёловский район,,22.04
28857,127495.0,55.922615,37.533949,51.0,2.0,17.0,Москва,,Северный район,,12.47
28858,143923.0,55.789269,37.880491,44.1,1.0,9.0,Балашиха,,,Новое Измайлово квартал,8.2
28859,143442.0,55.870495,37.254198,33.7,1.0,7.0,,д. Сабурово,,,6.45
28860,123308.0,55.768176,37.502906,84.0,2.0,11.0,Москва,,Хорошёво-Мнёвники район,,46.1
28861,117624.0,55.557374,37.558417,67.6,2.0,22.0,Москва,,Южное Бутово район,,24.79
28862,141032.0,55.967103,37.661055,117.4,4.0,4.0,,д. Болтино,,,15.0
28863,121170.0,55.731707,37.5174,116.0,3.0,9.0,Москва,,Дорогомилово район,,134.98
28864,,55.593432,37.432521,37.0,2.0,16.0,Москва,,Сосенское поселение,,10.48
28865,117405.0,55.584005,37.580574,24.6,,14.0,Москва,,Чертаново Южное район,,8.0
28866,141006.0,55.92238,37.744294,79.0,3.0,4.0,Мытищи,,,25а м-н,12.0
28867,117461.0,55.660102,37.56616,54.8,3.0,5.0,Москва,,Черёмушки район,,14.5
28868,108811.0,55.615093,37.383918,46.0,2.0,22.0,Москва,,Московский поселение,,12.54
28869,141068.0,55.947282,37.837562,40.8,2.0,2.0,Королёв,,,Текстильщик м-н,8.5
28870,143907.0,55.798111,37.962764,40.0,2.0,2.0,Балашиха,,,,7.2
28871,123100.0,55.754296,37.543809,82.3,3.0,8.0,Москва,,Пресненский район,,58.8
28872,141008.0,55.928457,37.725098,80.0,3.0,9.0,Мытищи,,,17а м-н,14.4
28873,143026.0,55.708477,37.379697,85.0,3.0,8.0,,рп. Новоивановское,,Западные ворота столицы жилой комплекс,14.2
28874,117335.0,55.678991,37.547419,324.3,4.0,3.0,Москва,,Ломоносовский район,,84.0
28875,125459.0,55.847068,37.419519,44.2,2.0,2.0,Москва,,Южное Тушино район,,14.0
28876,123423.0,55.748904,37.458784,46.6,1.0,9.0,Москва,,Хорошёво-Мнёвники район,Терехово (бывш.) д.,26.36
28877,141077.0,55.919186,37.84566,68.2,3.0,3.0,Королёв,,,Новые Подлипки м-н,10.4
28878,125466.0,55.901074,37.392575,80.3,3.0,3.0,Москва,,Куркино район,,22.3
28879,115432.0,55.688383,37.656814,103.3,3.0,4.0,Москва,,Даниловский район,,39.2
28880,,55.594828,37.429789,24.0,1.0,7.0,Москва,,Сосенское поселение,,8.21
28881,142720.0,55.520634,37.586582,75.0,3.0,7.0,,рп. Дрожжино,,Бутово парк 2 м-н,14.2
28882,,55.594931,37.427516,37.0,2.0,5.0,Москва,,Сосенское поселение,,11.08
28883,117405.0,55.587271,37.596845,53.0,2.0,8.0,Москва,,Чертаново Южное район,,12.35
28884,125124.0,55.783116,37.585427,75.3,2.0,4.0,Москва,,Беговой район,,35.34
28885,121096.0,55.736302,37.493646,71.0,2.0,19.0,Москва,,Филёвский парк район,,49.0
28886,143444.0,55.821155,37.248154,34.3,1.0,6.0,Красногорск,,,Опалиха м-н,6.9
28887,115583.0,55.598683,37.725404,67.6,2.0,9.0,Москва,,Орехово-Борисово Южное район,,29.0
28888,108814.0,55.555239,37.465016,26.0,,5.0,Москва,,Сосенское поселение,,7.8
28889,123423.0,55.773953,37.473454,58.0,2.0,31.0,Москва,,Хорошёво-Мнёвники район,,27.0
28890,115304.0,55.632101,37.67553,55.0,2.0,5.0,Москва,,Царицыно район,,15.9
28891,125504.0,55.860981,37.542014,39.0,1.0,10.0,Москва,,Западное Дегунино район,,13.8
28892,108814.0,55.574462,37.473768,63.9,2.0,6.0,,пос. Коммунарка,Сосенское поселение,,14.5
28893,129110.0,55.789836,37.638573,66.1,3.0,3.0,Москва,,Мещанский район,,23.0
28894,140016.0,55.695351,37.954772,55.97,2.0,3.0,Люберцы,,,Самолёт м-н,11.21
28895,143960.0,55.763196,37.864107,44.0,2.0,2.0,Реутов,,,4-й м-н,7.75
28896,127247.0,55.869431,37.54985,52.2,2.0,12.0,Москва,,Бескудниковский район,,15.3
28897,119571.0,55.65305,37.471706,89.2,2.0,13.0,Москва,,Тропарёво-Никулино район,,49.0
28898,129090.0,55.774851,37.630801,70.5,2.0,14.0,Москва,,Мещанский район,,33.5
28899,109145.0,55.697547,37.845851,87.3,2.0,2.0,Москва,,Выхино-Жулебино район,,27.0
28900,141700.0,55.971328,37.51346,32.0,,7.0,Долгопрудный,,,Хлебниково м-н,6.8
28901,107370.0,55.813484,37.741008,35.3,2.0,10.0,Москва,,Богородское район,,15.99
28902,109316.0,55.723913,37.686179,26.2,1.0,10.0,Москва,,Южнопортовый район,,8.47
28903,,55.555937,37.637711,25.5,,4.0,,д. Жабкино,,,5.4
28904,143900.0,55.790956,37.964207,40.0,1.0,10.0,Балашиха,,,Южный м-н,6.0
28905,108814.0,55.540766,37.457386,62.3,2.0,11.0,Москва,,Сосенское поселение,,12.65
28906,119049.0,55.721053,37.606277,60.1,2.0,1.0,Москва,,Якиманка район,,22.0
28907,141401.0,55.918816,37.410437,47.5,2.0,5.0,Химки,,,Старые Химки м-н,10.65
28908,125212.0,55.842142,37.488526,67.0,2.0,25.0,Москва,,Головинский район,,17.39
28909,108802.0,55.594236,37.461607,38.9,1.0,5.0,Москва,,Сосенское поселение,,11.4
28910,109456.0,55.718827,37.786122,34.0,1.0,1.0,Москва,,Рязанский район,,11.0
28911,125167.0,55.792538,37.543053,103.0,3.0,2.0,Москва,,Хорошёвский район,,52.94
28912,141704.0,55.961914,37.522348,90.0,3.0,6.0,Долгопрудный,,,Новые Водники м-н,21.5
28913,107143.0,55.81744,37.745895,59.0,2.0,29.0,Москва,,Метрогородок район,,14.39
28914,143441.0,55.862049,37.376917,26.76,1.0,24.0,Москва,,Митино район,,7.68
28915,127474.0,55.869548,37.55909,55.5,2.0,2.0,Москва,,Бескудниковский район,,14.7
28916,107392.0,55.805502,37.720949,35.0,2.0,4.0,Москва,,Преображенское район,,18.4
28917,119048.0,55.7277,37.571562,140.0,3.0,2.0,Москва,,Хамовники район,,151.0
28918,141732.0,56.014549,37.466792,43.8,2.0,2.0,Лобня,,,Букино м-н,6.2
28919,125080.0,55.806213,37.502022,106.67,3.0,7.0,Москва,,Сокол район,,66.11
28920,123458.0,55.796335,37.391943,118.4,3.0,2.0,Москва,,Строгино район,,32.0
28921,127566.0,55.867989,37.60147,60.0,3.0,6.0,Москва,,Отрадное район,,14.6
28922,105064.0,55.75943,37.657058,110.4,4.0,2.0,Москва,,Басманный район,,39.95
28923,117570.0,55.606549,37.578363,66.1,2.0,8.0,Москва,,Чертаново Центральное район,,19.37
28924,125008.0,55.840434,37.525942,51.8,2.0,11.0,Москва,,Коптево район,,17.0
28925,119313.0,55.676837,37.52355,60.0,3.0,1.0,Москва,,Ломоносовский район,,16.0
28926,119049.0,55.722815,37.61479,54.4,2.0,10.0,Москва,,Якиманка район,,24.5
28927,123001.0,55.762751,37.59282,65.0,2.0,3.0,Москва,,Пресненский район,,65.0
28928,119136.0,55.732514,37.541109,63.0,1.0,27.0,Москва,,Раменки район,,38.92
28929,108801.0,55.562781,37.49756,40.3,1.0,11.0,Москва,,Сосенское поселение,,10.99
28930,140074.0,55.68765,37.910026,40.0,1.0,23.0,Люберцы,,,Красная горка м-н,8.0
28931,115487.0,55.680874,37.662964,34.2,2.0,2.0,Москва,,Нагатино-Садовники район,,12.75
28932,125424.0,55.82249,37.432214,75.4,3.0,3.0,Москва,,Покровское-Стрешнево район,,16.7
28933,141103.0,55.906196,38.045426,65.8,2.0,6.0,Щёлково,,,Щёлково-3 м-н,8.45
28934,129085.0,55.807549,37.635721,75.0,2.0,9.0,Москва,,Останкинский район,,29.99
28935,107113.0,55.789408,37.656896,105.0,3.0,3.0,Москва,,Сокольники район,,40.5
28936,141402.0,55.890483,37.442174,42.9,2.0,5.0,Химки,,,Старые Химки м-н,8.0
28937,123060.0,55.789806,37.468672,38.2,1.0,6.0,Москва,,Щукино район,,12.42
28938,127521.0,55.799849,37.615169,46.24,1.0,2.0,Москва,,Марьина Роща район,,11.78
28939,123308.0,55.767502,37.500329,24.2,,22.0,Москва,,Хорошёво-Мнёвники район,,10.7
28940,115211.0,55.637172,37.705728,62.0,2.0,18.0,Москва,,Москворечье-Сабурово район,,21.02
28941,125212.0,55.842935,37.48768,67.0,2.0,6.0,Москва,,Головинский район,,16.23
28942,125413.0,55.864268,37.512914,18.5,,3.0,Москва,,Головинский район,,7.0
28943,127566.0,55.878944,37.610796,63.4,2.0,11.0,Москва,,Отрадное район,,17.68
28944,143909.0,55.832758,37.926264,39.0,1.0,9.0,Балашиха,,,Алексеевская роща квартал,5.5
28945,142702.0,55.529652,37.64203,52.0,2.0,9.0,,рп. Лопатино,,,9.95
28946,141420.0,55.946241,37.304987,41.0,1.0,12.0,Химки,,,Сходня м-н,8.1
28947,125466.0,55.883429,37.387952,89.4,2.0,7.0,Москва,,Куркино район,,22.1
28948,109428.0,55.725859,37.749053,38.9,2.0,16.0,Москва,,Рязанский район,,13.0
28949,117593.0,55.615401,37.550406,55.5,2.0,5.0,Москва,,Ясенево район,,14.9
28950,,55.591548,37.430471,37.0,2.0,11.0,Москва,,Сосенское поселение,,12.46
28951,105094.0,55.777089,37.71472,17.1,,1.0,Москва,,Соколиная Гора район,,4.7
28952,101000.0,55.765327,37.635007,163.0,4.0,3.0,Москва,,Красносельский район,,90.0
28953,143909.0,55.834202,37.930937,38.6,1.0,3.0,Балашиха,,,Алексеевская роща квартал,6.0
28954,107143.0,55.817697,37.746318,38.0,1.0,33.0,Москва,,Метрогородок район,,10.36
28955,123423.0,55.773748,37.474404,109.7,4.0,9.0,Москва,,Хорошёво-Мнёвники район,,33.57
28956,109316.0,55.721337,37.687369,37.8,1.0,5.0,Москва,,Южнопортовый район,,12.09
28957,143442.0,55.897912,37.284587,49.1,1.0,2.0,,д. Аристово,,,8.1
28958,143025.0,55.701,37.394266,46.1,2.0,1.0,Москва,,Можайский район,,11.78
28959,107392.0,55.803479,37.713649,55.26,2.0,6.0,Москва,,Преображенское район,,20.29
28960,123007.0,55.775932,37.524945,56.3,2.0,16.0,Москва,,Хорошёвский район,,35.9
28961,115088.0,55.714279,37.672894,140.0,3.0,15.0,Москва,,Южнопортовый район,,60.0
28962,109028.0,55.757274,37.650737,150.0,4.0,4.0,Москва,,Басманный район,,120.0
28963,121096.0,55.738811,37.49155,150.0,4.0,13.0,Москва,,Филёвский парк район,,65.0
28964,140060.0,55.611631,37.970777,49.0,2.0,3.0,,рп. Октябрьский,,,7.0
28965,140053.0,55.640258,37.854757,27.22,1.0,11.0,Котельники,,,,6.06
28966,141008.0,55.922282,37.720412,37.1,1.0,5.0,Мытищи,,,17-й м-н,7.6
28967,127560.0,55.886952,37.613344,51.4,2.0,5.0,Москва,,Бибирево район,,14.0
